Rank	University	Score	Country
272	University of Dundee	67.013	UK
273	Autonomous University of Madrid	67.011	Spain
274	James Cook University	66.764	Australia
275	Hiroshima University	66.644	Japan
276	Norwegian University of Science and Technology	66.528	Norway
277	Brunel University	66.514	UK
278	American University of Beirut	66.492	Lebanon
279	Birkbeck, University of London	66.455	UK
280	University of Tartu	66.385	Estonia
281	American University	66.317	USA
282	Loughborough University	66.224	UK
283	University of Waterloo	66.171	Canada
284	Colorado State University	66.099	USA
285	University of Canterbury	66.075	New Zealand
286	University of Guelph	65.971	Canada
287	Universiti Teknologi Malaysia	65.957	Malaysia
288	Creighton University	65.83	USA
289	University of Porto	65.771	Portugal
290	National Chiao Tung University	65.716	Taiwan
291	Arizona State University	65.707	USA
292	Beijing Institute of Technology	65.653	China
293	University of Navarra	65.641	Spain
294	University of Texas at Dallas	65.619	USA
295	University of Nebraska	65.518	USA
296	Southeast University	65.367	China
297	University of Coimbra	65.255	Portugal
298	University of Nebraska Medical Center	65.227	USA
299	Stellenbosch University	64.912	South Africa
300	University of South Florida	64.882	USA
301	Sun Yat-sen University	64.815	China
302	University of Manitoba	64.773	Canada
303	University of Delaware	64.73	USA
304	Washington State University	64.562	USA
305	Saint Petersburg State University	64.515	Russia
306	University of Tasmania	64.484	Australia
307	University of Turku	64.389	Finland
308	Johann Wolfgang Goethe University Frankfurt am Main	64.382	Germany
309	National University of Science and Technology MISiS	64.371	Russia
310	Griffith University	64.332	Australia
311	East China Normal University	64.279	China
312	University of Innsbruck	64.263	Austria
313	Bar-Ilan University	64.192	Israel
314	University of Pisa	64.15	Italy
315	Brandeis University	64.083	USA
316	Okayama University	64.029	Japan
317	University of Oulu	63.948	Finland
318	University of South Carolina	63.916	USA
319	Aveiro University	63.843	Portugal
320	Lehigh University	63.703	USA
321	Simon Fraser University	63.507	Canada
322	University of Jyvaskyla	63.44	Finland
323	University of California, Santa Cruz	63.284	USA
324	ITMO University	63.18	Russia
325	Chulalongkorn University	63.153	Thailand
326	RMIT University	62.788	Australia
327	Flinders University	62.747	Australia
328	Central South University	62.66	China
330	Bielefeld University	62.6	Germany
330	University of Macau	62.6	Macau
331	Umea University	62.508	Sweden
332	Nanjing Medical University	62.442	China
333	University of Genoa	62.423	Italy
334	Indian Institute of Technology, Kanpur	62.211	India
335	University of Lisbon	62.102	Portugal
336	King Fahd University of Petroleum and Minerals	61.965	Saudi Arabia
337	Chung-Ang University	61.931	Republic of Korea
338	Florida Institute of Technology	61.877	USA
339	Semmelweis University	61.87	Hungary
340	Renmin University of China	61.842	China
341	National Cheng Kung University	61.755	Taiwan
342	Louisiana State University	61.676	USA
343	University of Eastern Finland	61.633	Finland
344	University of Vermont	61.432	USA
345	Pontificia University Catolica de Chile	61.303	Chile
346	Sichuan University	61.247	China
347	Auburn University	61.229	USA
348	Texas Tech University	61.166	USA
349	La Trobe University	61.138	Australia
350	University of Hyderabad	61.092	India
351	National Taiwan University of Science and Technology	61.025	Taiwan
352	Oklahoma State University	61.012	USA
353	Bilkent University	60.879	Turkey
354	Koc University	60.816	Turkey
355	University of Essex	60.775	UK
356	University of Iceland	60.728	Iceland
357	Hofstra University	60.686	USA
