Rank	University	Score	Country
783	University of Fallujah	24.289	Iraq
784	Don State Technical University	24.207	Russia
785	Southwest Petroleum University	24.179	China
786	Ubon Ratchathani University	24.161	Thailand
787	Lipetsk State Technical University	24.137	Russia
788	Azerbaijan University of Architecture and Construction	24.066	Azerbaijan
789	Middle Technical University	23.76	Iraq
790	Ufa State Petroleum Technological University (USPTU)	23.755	Russia
791	Vladimir State University named after Alexander and Nikolay Stoletovs	23.739	Russia
792	Soochow University (Taiwan)	23.51	Taiwan
793	European University Skopje	23.304	North Macedonia
794	Chaoyang University of Technology	23.164	Taiwan
795	Al-Ahliyya Amman University	23.042	Jordan
796	Voronezh State Technical University	22.845	Russia
797	University of Dubrovnik	22.682	Croatia
798	North Caucasus Federal University	22.598	Russia
799	Tunghai University	22.487	Taiwan
800	Kafrelsheikh University	22.48	Egypt
801	Tomsk State University of Architecture and Building	22.47	Russia
802	University of Kerbala	22.449	Iraq
803	ESIC Business and Marketing School	22.404	Spain
804	Volgograd State Technical University	22.355	Russia
805	National Chiayi University	21.782	Taiwan
806	Istanbul Gelisim University	21.67	Turkey
807	University of Thi-Qar	21.494	Iraq
808	Istanbul Medipol University	21.479	Turkey
809	Emperor Alexander I St.Petersburg State Transport University	20.328	Russia
810	Ming Chuan University	20.324	Taiwan
811	Novosibirsk State University of Economics and Management	19.885	Russia
812	Al-Mustaqbal University College	19.876	Iraq
813	Al-Kitab University	19.664	Iraq
814	Kemerovo State University	19.616	Russia
815	Al-Nisour University College	19.598	Iraq
816	NED University of Engineering and Technology	19.453	Pakistan
817	University of Petra (UOP)	19.447	Jordan
818	Ulyanovsk State University	19.373	Russia
819	Poltava National Technical Yuri Kondratyuk University	18.86	Ukraine
820	Tatung University	18.844	Taiwan
821	Pacific National University	18.746	Russia
822	Islamic University in Najaf	18.556	Iraq
823	Interdisciplinary Center Herzliya (IDC Herzliya)	18.473	Israel
824	Tra Vinh University	18.372	Vietnam
824	Maritime University Szczecin	18.443	Poland
825	Mari State University	18.347	Russia
826	Al-Furat Al-Awsat Technical  University	18.118	Iraq
827	Togliatti State University	18.053	Russia
828	EA Buketov Karaganda State University	17.835	Kazakhstan
829	Sevastopol State University	17.742	Russia
830	Can Tho University	17.649	Vietnam
831	Vyatka State University	17.298	Russia
832	National Formosa University	17.17	Taiwan
833	Al Muthanna University	17.121	Iraq
834	Northern Technical University	16.739	Iraq
835	Belgorod State Technological University	16.548	Russia
836	Al-Karkh University of Science	16.289	Iraq
837	Platov South-Russian State Polytechnic University	15.567	Russia
838	Jabir Ibn Hayyan Medical University	15.361	Iraq
839	Behalf of Basrah University College of Science and Technology	15.229	Iraq
840	University of Kirkuk	15.102	Iraq
841	Arab American University (AAUP)	14.688	Palestine
842	Savannah College of Art and Design	14.424	USA
843	University of Samarra	14.232	Iraq
844	Kozma Minin Nizhny Novgorod State Pedagogical University	13.941	Russia
845	Southern Technical University	12.485	Iraq
846	University of the Thai Chamber of Commerce	12.468	Thailand
847	Baghdad College Of Economic Sciences University	12.227	Iraq
848	Rostov State University of Economics	11.781	Russia
849	Dijlah University College	9.716	Iraq
850	University of Warith Alanbiyaa	9.706	Iraq
851	Al-Safwa University College	9.174	Iraq
851	Madenat Alelem University College	9.174	Iraq
852	Al-Toosi University College	8.683	Iraq
853	Al-Ayen University	8.589	Iraq
854	National University for Science and Technology	8.34	Iraq
855	Imam Ja`afar Al-Sadiq University	8.331	Iraq
856	Al-Amarah University College	8.288	Iraq
857	University of Alkafeel	8.063	Iraq
858	Murmansk Arctic State University	7.888	Russia
859	University of Al-Hamdaniya	7.775	Iraq
859	Al-Zahrawi University College	7.775	Iraq
860	University of Sumer	7.132	Iraq
861	Al-Manara College of Medical Sciences	6.749	Iraq
862	Karaganda University of Kaspotrebsoyuz	6.506	Kazakhstan
863	Bilad Alrafidain University College	5.76	Iraq
864	Al-Farahidi University	4.834	Iraq
865	Al-Kut University College	4.721	Iraq
866	Al-Rasheed University College	4.568	Iraq
866	Al-Esraa University College	5.53	Iraq
867	Imam Al-Kadhum College	2.933	Iraq
